"line_name","station_name","X","Y"
"5号線東西線","浦安",139.89323674729857,35.66590263591299
"京葉線","舞浜",139.88372000467572,35.63616000421537
"京葉線","新浦安",139.91252999283086,35.6495200028472
"ディズニーリゾートライン","東京ディズニーシー･ステーション",139.889490001576,35.627235000661095
"ディズニーリゾートライン","リゾートゲートウェイ･ステーション",139.88495000155143,35.63511000158842
"ディズニーリゾートライン","東京ディズニーランド･ステーション",139.87844499922895,35.6358450007464
"ディズニーリゾートライン","ベイサイド･ステーション",139.87634500085275,35.62785500105373
